Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Tuni,35,DIVYA YANAMALA,Telugu Desami,DADISETTI RAJA,"Yuvajana Sramika Rythu Congress Party
i",15177,16/16,Result Declared
Udayagiri,123,KAKARLA SURESH,Telugu Desami,MEKAPATI RAJAGOPAL REDDY,"Yuvajana Sramika Rythu Congress Party
i",9621,24/24,Result Declared
Undi,60,KANUMURU RAGHU RAMA KRISHNA RAJU (R R R),Telugu Desami,PENMETSA VENKATA LAKSHMI NARASIMHA RAJU (P.V.L),"Yuvajana Sramika Rythu Congress Party
i",56777,18/18,Result Declared
Ungutur,63,DHARMARAJU PATSAMATLA,Janasena Partyi,PUPPALA SRINIVASA RAO (VASU BABU),"Yuvajana Sramika Rythu Congress Party
i",44945,17/17,Result Declared
Uravakonda,149,PAYYAVULA KESHAV,Telugu Desami,Y. VISWESWARA REDDY,"Yuvajana Sramika Rythu Congress Party
i",21704,15/15,Result Declared
Vemuru (SC),89,ANANDA BABU NAKKA,Telugu Desami,ASHOK BABU VARIKUTI,"Yuvajana Sramika Rythu Congress Party
i",22021,17/17,Result Declared
Venkatagiri,122,KURUGONDLA RAMAKRISHNA,Telugu Desami,NEDURUMALLI RAM KUMAR REDDY,"Yuvajana Sramika Rythu Congress Party
i",16294,22/22,Result Declared
Vijayawada Central,80,BONDA UMAMAHESWARARAO,Telugu Desami,VELAMPALLI SRINIVASA RAO,"Yuvajana Sramika Rythu Congress Party
i",68886,21/21,Result Declared
Vijayawada East,81,GADDE RAMA MOHAN,Telugu Desami,AVINASH DEVINENI,"Yuvajana Sramika Rythu Congress Party
i",49640,23/23,Result Declared
Vijayawada West,79,YALAMANCHILI SATYANARAYANA CHOWDARY (SUJANA CHOWDARY),Bharatiya Janata Partyi,ASIF SHAIK,"Yuvajana Sramika Rythu Congress Party
i",47032,20/20,Result Declared
Vinukonda,99,GONUGUNTLA VENKATA SIVA SITA RAMA ANZANNEYLLU,Telugu Desami,BOLLA BRAHMA NAIDU,"Yuvajana Sramika Rythu Congress Party
i",30267,22/22,Result Declared
Visakhapatnam East,21,RAMAKRISHNA BABU VELAGAPUDI,Telugu Desami,M V V SATYANARAYANA,"Yuvajana Sramika Rythu Congress Party
i",70877,22/22,Result Declared
Visakhapatnam North,23,VISHNU KUMAR RAJU PENMETSA,Bharatiya Janata Partyi,KANNAPARAJU KAMMILA (K.K. RAJU),"Yuvajana Sramika Rythu Congress Party
i",47534,21/21,Result Declared
Visakhapatnam South,22,CH.VAMSI KRISHNA SRINIVAS,Janasena Partyi,GANESH KUMAR VASUPALLI,"Yuvajana Sramika Rythu Congress Party
i",64594,17/17,Result Declared
Visakhapatnam West,24,P.G.V.R.NAIDU(GANABABU),Telugu Desami,ADARI ANAND KUMAR,"Yuvajana Sramika Rythu Congress Party
i",35184,16/16,Result Declared
Vizianagaram,18,ADITI VIJAYALAKSHMI GAJAPATHI RAJU PUSAPATI,Telugu Desami,KOLAGATLA VEERABHADRA SWAMY,"Yuvajana Sramika Rythu Congress Party
i",60609,20/20,Result Declared
Yelamanchili,32,SUNDARAPU VIJAY KUMAR,Janasena Partyi,UPPALAPATI VENKATA RAMANAMURTHY RAJU,"Yuvajana Sramika Rythu Congress Party
i",48956,19/19,Result Declared
Yemmiganur,144,B. JAYANAGESWARA REDDY,Telugu Desami,BUTTA RENUKA,"Yuvajana Sramika Rythu Congress Party
i",15837,20/20,Result Declared
Yerragondapalem (SC),102,CHANDRA SEKHAR TATIPARTHI,Yuvajana Sramika Rythu Congress Partyi,ERIXION BABU GUDURI,"Telugu Desam
i",5200,19/19,Result Declared
