Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Puri,107,SUNIL KUMAR MOHANTY,Biju Janata Dali,JAYANTA KUMAR SARANGI,"Bharatiya Janata Party
i",5178,24/24,Result Declared
Raghunathpali,11,DURGA CHARAN TANTI,Bharatiya Janata Partyi,ARCHANA REKHA BEHERA,"Biju Janata Dal
i",5774,20/20,Result Declared
Rairakhol,18,PRASANNA ACHARYA,Biju Janata Dali,DEBENDRA MOHAPATRA,"Bharatiya Janata Party
i",4960,21/21,Result Declared
Rairangpur,28,JALEN NAIK,Bharatiya Janata Partyi,RAISEN MURMU,"Biju Janata Dal
i",7693,37/37,Result Declared
Rajanagar,99,DHRUBA CHARAN SAHOO,Biju Janata Dali,LALIT KUMAR BEHERA,"Bharatiya Janata Party
i",18241,29/29,Result Declared
Rajgangpur,13,C.S. RAAZEN EKKA,Indian National Congressi,ANIL BARWA,"Biju Janata Dal
i",10184,23/23,Result Declared
Ranpur,119,SURAMA PADHY,Bharatiya Janata Partyi,SATYANARAYAN PRADHAN,"Biju Janata Dal
i",15544,18/18,Result Declared
Rayagada,140,KADRAKA APPALA SWAMY,Indian National Congressi,ANUSAYA MAJHI,"Biju Janata Dal
i",29186,26/26,Result Declared
Remuna,39,GOBINDA CHANDRA DAS,Bharatiya Janata Partyi,BIDYASMITA MAHALIK,"Biju Janata Dal
i",24168,24/24,Result Declared
Rengali,16,SUDARSHAN HARIPAL,Biju Janata Dali,NAURI NAYAK,"Bharatiya Janata Party
i",3212,20/20,Result Declared
Rourkela,12,SARADA PRASAD NAYAK,Biju Janata Dali,DILIP KUMAR RAY,"Bharatiya Janata Party
i",3552,15/15,Result Declared
Salipur,94,PRASANTA BEHERA,Biju Janata Dali,ARINDAM ROY,"Bharatiya Janata Party
i",7594,26/26,Result Declared
Sambalpur,17,JAYANARAYAN MISHRA,Bharatiya Janata Partyi,ROHIT PUJARI,"Biju Janata Dal
i",4105,19/19,Result Declared
Sanakhemundi,130,RAMESH CHANDRA JENA,Indian National Congressi,Sulakshana Geetanjali Devi,"Biju Janata Dal
i",10662,29/29,Result Declared
Saraskana,27,BHADAV HANSDAH,Bharatiya Janata Partyi,DEBASHIS MARNDI,"Biju Janata Dal
i",13652,34/34,Result Declared
Satyabadi,109,OM PRAKASH MISHRA,Bharatiya Janata Partyi,SANJAY KUMAR DAS BURMA,"Biju Janata Dal
i",17708,26/26,Result Declared
Simulia,42,PADMA LOCHAN PANDA,Bharatiya Janata Partyi,SUBASINI SAHOO,"Biju Janata Dal
i",13183,25/25,Result Declared
Sonepur,65,NIRANJAN PUJARI,Biju Janata Dali,PRAMOD KUMAR MAHAPATRA,"Bharatiya Janata Party
i",15239,23/23,Result Declared
Soro,41,MADHAB DHADA,Biju Janata Dali,PARSHURAM DHADA,"Bharatiya Janata Party
i",802,23/23,Result Declared
Sukinda,54,PRADEEP BAL SAMANTA,Bharatiya Janata Partyi,PRITIRANJAN GHARAI,"Biju Janata Dal
i",9577,19/19,Result Declared
Sundargarh,9,JOGESH KUMAR SINGH,Biju Janata Dali,KUSUM TETE,"Bharatiya Janata Party
i",9122,22/22,Result Declared
Surada,129,NILAMANI BISOYI,Bharatiya Janata Partyi,SANGHAMITRA SWAIN,"Biju Janata Dal
i",28224,19/19,Result Declared
Talcher,60,BRAJA KISHORE PRADHAN,Biju Janata Dali,KALANDI CHARAN SAMAL,"Bharatiya Janata Party
i",32122,17/17,Result Declared
Talsara,8,BHABANI SHANKAR BHOI,Bharatiya Janata Partyi,BINAYA KUMAR TOPPO,"Biju Janata Dal
i",17189,20/20,Result Declared
Telkoi,20,DR. FAKIR MOHAN NAIK,Bharatiya Janata Partyi,MADHABA SARDAR,"Biju Janata Dal
i",9439,23/23,Result Declared
Tirtol,102,RAMAKANTA BHOI,Biju Janata Dali,RAJKISHORE BEHERA,"Bharatiya Janata Party
i",28495,20/20,Result Declared
Titlagarh,69,NABIN KUMAR JAIN,Bharatiya Janata Partyi,TUKUNI SAHU,"Biju Janata Dal
i",17399,23/23,Result Declared
Udala,31,BHASKAR MADHEI,Bharatiya Janata Partyi,SRINATH SOREN,"Biju Janata Dal
i",6517,21/21,Result Declared
Umerkote,73,NITYANANDA GOND,Bharatiya Janata Partyi,NABINA NAYAK,"Biju Janata Dal
i",10373,23/23,Result Declared
